Gamma0.5,Gamma0.6,Gamma0.7,Gamma0.8,Gamma0.9,z0_parent_id
2.03369767417,1.85483017877,2.09095900242,1.73709734122,0.768499718877,125
4.16942346105,4.05948912875,3.01092400023,2.47398301806,0.886835115873,131
1.71678959192,2.05236054958,1.91330217273,0.906106404474,0.760580660578,132
1.15521640207,0.807058206259,0.524809598667,0.749659604732,0.579583337254,135
2.21998378364,2.69669961884,2.30216625616,2.54867820736,4.06334091506,140
3.0785343523,3.6594626054,4.97658465995,1.76387047469,1.14444134606,146
1.77601220583,2.12079379253,2.38823703345,1.84042143399,1.48286998155,149
3.18365806124,2.92760662543,2.8617196756,0.886700906487,0.700761060724,153
2.60337230449,2.78416465668,3.07883307257,3.32778977586,2.95775579454,156
2.55446351878,2.51265807113,2.41998141428,2.79791242267,4.84551827073,161
2.27275976346,2.16538117375,1.55286880803,1.71118882051,3.2284268212,175
2.45343548637,2.89626845248,3.00494434984,3.65104300077,5.60535222222,200
2.01265536582,1.86598708523,2.47685260394,2.80822619189,1.92159772826,201
3.23750452768,3.25628006843,3.15709527826,3.62627001992,1.61731631725,217
1.85134770898,1.86809418338,1.97770162884,1.81713286279,1.46457850214,223
2.53785103157,1.82469156738,1.12967540718,0.593133990379,0.528417253267,229
3.34778791941,2.22789337239,0.887241958468,0.149267278069,-0.0620887971952,248
1.87569491461,1.79743691633,2.60325637823,1.75043800181,1.16886000208,284
3.66656990736,3.53058923314,2.90631779985,1.77026392116,1.18961724638,298
3.59586574469,3.73133369307,3.5344984861,4.86180362857,2.73289375738,434
4.50189143076,4.08235028339,1.76713297038,1.17158506154,0.70354116411,471
3.60796531032,1.24372076779,0.784608929956,1.30585655273,2.46315787568,732
